毛主席语录,1970-01-01,1970-01
迎接伟大的七十年代,1970-01-01,1970-01
紧跟伟大领袖毛主席，夺取更大胜利！——上海工人阶级满怀革命豪情，以战斗的姿态跨进伟大的七十年代,1970-01-01,1970-01
狠抓革命猛促生产黑龙江吉林煤炭工业战线提前完成去年生产计划,1970-01-01,1970-01
抚顺矿区高举‘九大’团结、胜利旗帜提前完成原煤生产和掘进进尺计划,1970-01-01,1970-01
毛泽东思想的光辉照亮了帕米尔高原新疆塔吉克族人民紧跟毛主席改变高原山区落后面貌的事迹,1970-01-01,1970-01
东方红（曲谱）,1970-01-01,1970-01
大海航行靠舵手（曲谱）,1970-01-01,1970-01
“毛主席万岁！”——访问韶山、井冈山、延安的外国革命友人热情歌颂伟大领袖毛主席,1970-01-01,1970-01
发挥人的积极因素克服种种困难阿开展群众性植树造林运动在不到一个月内各地栽种树苗五百多万株,1970-01-01,1970-01
突出无产阶级政治发扬高度革命干劲阿人民胜利完成一九六九年社会主义建设任务,1970-01-01,1970-01
毛主席语录,1970-01-01,1970-01
“泰国人民之声”热烈欢呼泰国人民革命斗争的大好形势人民战争扩及全国地方革命政权开始成立难府柯县爱国军民袭击美泰反动派兵营使敌人抱头鼠窜,1970-01-01,1970-01
“马来亚革命之声”热烈欢呼武装斗争取得新胜利马来亚民族解放军在反“围剿”中越战越强,1970-01-01,1970-01
北京城区天气预报,1970-01-01,1970-01
莫三鼻给爱国武装英勇作战在西尼亚萨省痛歼葡殖民军,1970-01-01,1970-01
阿拉法特在‘法塔赫’胜利开展武装斗争五周年前夕发表谈话决心继续武装群众进行战斗直到胜利卢图夫强调说，坚决拒绝有利于美帝和以色列的‘政治解决’中东问题办法,1970-01-01,1970-01
毛主席语录,1970-01-02,1970-01
毛主席语录,1970-01-02,1970-01
全国军民热烈欢呼伟大领袖毛主席重要指示和中央两报一刊元旦社论紧跟毛主席，更好更快地完成“九大”提出的战斗任务把反对帝修反的斗争进行到底，为人类作出更大贡献,1970-01-02,1970-01
落实毛主席重要指示，争取更大胜利,1970-01-02,1970-01
狠抓阶级斗争，深入开展革命大批判,1970-01-02,1970-01
自力更生艰苦奋斗建设社会主义新农村,1970-01-02,1970-01
从现在起就要有所准备,1970-01-02,1970-01
总路线光芒普照,1970-01-02,1970-01
听毛主席的话，在成绩面前不停步，赞扬声中更谦虚林县人民满怀革命豪情乘胜前进,1970-01-02,1970-01
